Sample;M;intensity
bladder2;2786;5622380
bladder2;3161.2;18611728
bladder2;4176.5;8665417
bladder2;4192.5;24063857
bladder2;4214.5;6464900
bladder2;4304.6;6083729
brain1;1008.4;5577712
brain1;1032.4;15331408.4
brain1;1034.4;31579380
brain1;1049.4;6108463
brain1;1055.4;37285337
brain1;1056.4;23286141
brain1;1057.4;475301967
brain1;1058.4;9639723
brain1;1058.7;25013985
brain1;1059.1;31570459
brain1;1059.4;1543698075
brain1;1060.9;18058812
brain1;1072.4;5604495
brain1;1073.4;251079410
brain1;1074.4;67207348
brain1;1075.4;2230925541
brain1;1079.4;25562414
brain1;1080.9;14000601
brain1;1081.4;25331087
brain1;1092.4;40530926
brain1;1097.4;64934959
brain1;1098.4;141313482
brain1;1100.4;306862154
brain1;1116.4;162902707
brain1;1121.4;43527375
brain1;1139.4;13836592
brain1;1140.4;7056723
brain1;1151.4;14469751
brain1;1155.4;37273755
brain1;1157.5;183971675
brain1;1176.4;207007948
brain1;1196.4;5207012
brain1;1199.4;7599326
brain1;1205.4;9817505
brain1;1217.4;8298134
brain1;1218.4;14185523
brain1;1218.5;46770186
brain1;1219.5;145943789
brain1;1221.5;300855566
brain1;1227.5;6064438
brain1;1233.4;20696020
brain1;1233.5;65541055
brain1;1234.4;9619879
brain1;1236.5;759440706
brain1;1237.5;11227573434
brain1;1238;204901909
brain1;1238.5;6609218
brain1;1251.5;7773971
brain1;1252.5;217498676
brain1;1253.5;143683122
brain1;1254.5;991261609
brain1;1255.5;205247037
brain1;1259.4;486053294
brain1;1261.5;17598698
brain1;1262.5;1275776928
brain1;1263.5;6065699
brain1;1265;6913740
brain1;1269.4;45442128
brain1;1276.5;11348384
brain1;1278.5;107364903.2
brain1;1280.5;39793020
brain1;1282.5;229800459
brain1;1284.5;26126382
brain1;1299.5;67112462
brain1;1303.5;1135631023
brain1;1304.5;23817163
brain1;1307.5;6835645
brain1;1319.5;215493948.2
brain1;1320.5;7916808
brain1;1323.5;10756985
brain1;1325.5;35502153
brain1;1342.4;7837977
brain1;1364.6;6390129
brain1;1367.5;6389920
brain1;1382.5;14025014
brain1;1383.5;217358304
brain1;1386;6020152
brain1;1396.5;14036772
brain1;1397.5;139141314
brain1;1398.5;100785152
brain1;1399.5;2448718533
brain1;1400.5;27781898
brain1;1404.5;23906297
brain1;1405.5;6465414
brain1;1406.5;22794218
brain1;1408.5;37099017
brain1;1414.5;137549332
brain1;1415.5;13146055
brain1;1415.6;81709569
brain1;1416.5;1277826411
brain1;1417.5;24928408
brain1;1420.5;26449455
brain1;1421.5;195151519
brain1;1424.5;531527451
brain1;1438.5;13311776.7
brain1;1440.5;216990042
brain1;1444.6;83845084
brain1;1465.6;2838625959
brain1;1467.6;105635205
brain1;1479.5;37461495
brain1;1480.6;11248442
brain1;1481.6;37288085.2
brain1;1485.5;22756341
brain1;1485.6;8924287
brain1;1487.5;66384062
brain1;1487.6;46518400
brain1;1510.6;267696560
brain1;1521.6;7083251
brain1;1522.6;93469292.9
brain1;1545.5;77638723
brain1;1559.5;17989649
brain1;1561.6;425955128
brain1;1569.6;18374029
brain1;1570.6;422663161
brain1;1576.6;133377202
brain1;1577.6;38533516
brain1;1578.6;1121991797
brain1;1584.6;132625739
brain1;1585.6;20583567
brain1;1586.6;313153550
brain1;1592.6;18645366
brain1;1595.6;17283419
brain1;1602.6;36637650
