Composition;M
N6H10;2860.037958
N7H5G2;2867.033878
N5H5F3A2;2867.059031
N7H6F1G1 || N7H7A1;2868.054279
N7H7F2;2869.07468
N8H4F4;2878.111402
N5H6A3;2882.033544
N5H5F3A1G1 || N5H6F2A2;2883.053945
N7H7G1;2884.049193
N5H6F4A1;2884.074346
N7H8F1;2885.069594
N8H5F1A1;2893.085915
N8H5F3;2894.106316
N5H6A2G1;2898.028458
N5H5F3G2 || N5H6F2A1G1 || N5H7F1A2;2899.048859
N5H6F4G1 || N5H7F3A1;2900.06926
N7H9;2901.064508
N8H5F1G1 || N8H6A1;2909.080829
N6H4F5A1;2909.105982
N8H6F2;2910.10123
N5H6A1G2;2914.023372
N5H6F2G2 || N5H7F1A1G1 || N5H8A2;2915.043773
N5H7F3G1 || N5H8F2A1;2916.064174
N6H5F2A2;2924.080495
N8H6G1;2925.075743
N6H4F5G1 || N6H5F4A1;2925.100896
N8H7F1;2926.096144
N5H6G3;2930.018286
N5H7F1G2 || N5H8A1G1;2931.038687
N5H8F2G1 || N5H9F1A1;2932.059088
N6H5F2A1G1 || N6H6F1A2;2940.075409
N6H5F4G1 || N6H6F3A1;2941.09581
N8H8;2942.091058
N6H6F5;2942.116211
N5H8G2;2947.033601
N5H9F1G1;2948.054002
N9H5F2;2951.12778
N6H5F2G2 || N6H6F1A1G1 || N6H7A2;2956.070323
N6H6F3G1 || N6H7F2A1;2957.090724
N6H7F4;2958.111125
N7H4F4A1;2966.127446
N9H6F1;2967.122694
N6H6F1G2 || N6H7A1G1;2972.065237
N6H7F2G1 || N6H8F1A1;2973.085638
N6H8F3;2974.106039
N7H5F1A2;2981.101959
N7H4F4G1 || N7H5F3A1;2982.12236
N9H7;2983.117608
N7H5F5;2983.142761
N6H7G2;2988.060151
N6H8F1G1 || N6H9A1;2989.080552
N6H9F2;2990.100953
N7H5F1A1G1 || N7H6A2;2997.096873
N7H5F3G1 || N7H6F2A1;2998.117274
N7H6F4;2999.137675
N6H9G1;3005.075466
N6H10F1;3006.095867
N7H5F1G2 || N7H6A1G1;3013.091787
N5H5F4A2;3013.11694
N7H6F2G1 || N7H7F1A1;3014.112188
N7H7F3;3015.132589
N6H11;3022.090781
N10H6;3024.144158
N8H4F5;3024.169311
N5H6F1A3;3028.091453
N7H6G2;3029.086701
N5H5F4A1G1 || N5H6F3A2;3029.111854
